LocationID,Name,State,Status,Response,Message
"0","Mumbai","Maharashtra","1","Success",""
"0","Delhi","Delhi","1","Success",""
"0","Bengaluru","Karnataka","1","Success",""
"0","Ahmedabad","Gujarat","1","Success",""
"0","Hyderabad","Telangana","1","Success",""
"0","Chennai","Tamil Nadu","1","Success",""
"0","Kolkata","West Bengal","1","Success",""
"0","Pune","Maharashtra","1","Success",""
"0","Jaipur","Rajasthan","1","Success",""
"0","Surat","Gujarat","1","Success",""
"0","Lucknow","Uttar Pradesh","1","Success",""
"0","Kanpur","Uttar Pradesh","1","Success",""
"0","Nagpur","Maharashtra","1","Success",""
"0","Patna","Bihar","1","Success",""
"0","Indore","Madhya Pradesh","1","Success",""
"0","Thane","Maharashtra","1","Success",""
"0","Bhopal","Madhya Pradesh","1","Success",""
"0","Visakhapatnam","Andhra Pradesh","1","Success",""
"0","Vadodara","Gujarat","1","Success",""
"0","Firozabad","Uttar Pradesh","1","Success",""
"0","Ludhiana","Punjab","1","Success",""
"0","Rajkot","Gujarat","1","Success",""
"0","Agra","Uttar Pradesh","1","Success",""
"0","Siliguri","West Bengal","1","Success",""
"0","Nashik","Maharashtra","1","Success",""
"0","Faridabad","Haryana","1","Success",""
"0","Patiala","Punjab","1","Success",""
"0","Meerut","Uttar Pradesh","1","Success",""
"0","Kalyan'-Dombivali","Maharashtra","1","Success",""
"0","Vasai'-Virar","Maharashtra","1","Success",""
"0","Varanasi","Uttar Pradesh","1","Success",""
"0","Srinagar","Jammu and Kashmir","1","Success",""
"0","Dhanbad","Jharkhand","1","Success",""
"0","Jodhpur","Rajasthan","1","Success",""
"0","Amritsar","Punjab","1","Success",""
"0","Raipur","Chhattisgarh","1","Success",""
"0","Allahabad","Uttar Pradesh","1","Success",""
"0","Coimbatore","Tamil Nadu","1","Success",""
"0","Jabalpur","Madhya Pradesh","1","Success",""
"0","Gwalior","Madhya Pradesh","1","Success",""
"0","Vijayawada","Andhra Pradesh","1","Success",""
"0","Madurai","Tamil Nadu","1","Success",""
"0","Guwahati","Assam","1","Success",""
"0","Chandigarh","Chandigarh","1","Success",""
"0","Hubli'-Dharwad","Karnataka","1","Success",""
"0","Amroha","Uttar Pradesh","1","Success",""
"0","Moradabad","Uttar Pradesh","1","Success",""
"0","Gurgaon","Haryana","1","Success",""
"0","Aligarh","Uttar Pradesh","1","Success",""
"0","Solapur","Maharashtra","1","Success",""
"0","Ranchi","Jharkhand","1","Success",""
"0","Jalandhar","Punjab","1","Success",""
"0","Tiruchirappalli","Tamil Nadu","1","Success",""
"0","Bhubaneswar","Odisha","1","Success",""
"0","Salem","Tamil Nadu","1","Success",""
"0","Warangal","Telangana","1","Success",""
"0","Mira'-Bhayandar","Maharashtra","1","Success",""
"0","Thiruvananthapuram","Kerala","1","Success",""
"0","Bhiwandi","Maharashtra","1","Success",""
"0","Saharanpur","Uttar Pradesh","1","Success",""
"0","Guntur","Andhra Pradesh","1","Success",""
"0","Amravati","Maharashtra","1","Success",""
"0","Bikaner","Rajasthan","1","Success",""
"0","Noida","Uttar Pradesh","1","Success",""
"0","Jamshedpur","Jharkhand","1","Success",""
"0","Bhilai Nagar","Chhattisgarh","1","Success",""
"0","Cuttack","Odisha","1","Success",""
