CustID,Name,Status
"32","abc","Active"
"440","adfasfasfasf","Active"
"438","Ajeet","Active"
"435","BlackRock","Active"
"428","CAIRN","Active"
"434","Cars24","Active"
"433","Dealskart","Active"
"436","Fujifilm","Active"
"37","MicroMax","Active"
"42","Mynd Cust","Active"
"432","Test cust","Active"
"437","Test Cust 1","Active"
"441","Test Customer Mynd","Active"
