MappingID,Company,Site,Act,Activity,Contractor
"20819","IDP Education India Pvt. Ltd.","Ludhiana","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20825","IDP Education India Pvt. Ltd.","Ludhiana","LWF","Remittance Returns cum Challans",""
"20852","IDP Education India Pvt. Ltd.","Mumbai Andheri","Employ Comp.","Submission of Returns",""
"20865","IDP Education India Pvt. Ltd.","Mumbai Andheri","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20871","IDP Education India Pvt. Ltd.","Mumbai Andheri","LWF","Remittance Returns cum Challans",""
"20901","IDP Education India Pvt. Ltd.","Mumbai Churchgate","Employ Comp.","Submission of Returns",""
"20914","IDP Education India Pvt. Ltd.","Mumbai Churchgate","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20920","IDP Education India Pvt. Ltd.","Mumbai Churchgate","LWF","Remittance Returns cum Challans",""
"20950","IDP Education India Pvt. Ltd.","New Delhi Nehru Place","Employ Comp.","Submission of Returns",""
"20963","IDP Education India Pvt. Ltd.","New Delhi Nehru Place","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"20969","IDP Education India Pvt. Ltd.","New Delhi Nehru Place","LWF","Remittance Returns cum Challans",""
"20996","IDP Education India Pvt. Ltd.","New Delhi Rajouri Garden","Employ Comp.","Submission of Returns",""
"21009","IDP Education India Pvt. Ltd.","New Delhi Rajouri Garden","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"21015","IDP Education India Pvt. Ltd.","New Delhi Rajouri Garden","LWF","Remittance Returns cum Challans",""
"21042","IDP Education India Pvt. Ltd.","Pune","Employ Comp.","Submission of Returns",""
"21055","IDP Education India Pvt. Ltd.","Pune","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"21061","IDP Education India Pvt. Ltd.","Pune","LWF","Remittance Returns cum Challans",""
"21091","IDP Education India Pvt. Ltd.","Thane","Employ Comp.","Submission of Returns",""
"21104","IDP Education India Pvt. Ltd.","Thane","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"21110","IDP Education India Pvt. Ltd.","Thane","LWF","Remittance Returns cum Challans",""
"21139","IDP Education India Pvt. Ltd.","Vadodara","Employ Comp.","Submission of Returns",""
"21152","IDP Education India Pvt. Ltd.","Vadodara","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"21158","IDP Education India Pvt. Ltd.","Vadodara","LWF","Remittance Returns cum Challans",""
"21188","IDP Education India Pvt. Ltd.","Vijayawada","Employ Comp.","Submission of Returns",""
"21201","IDP Education India Pvt. Ltd.","Vijayawada","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"21207","IDP Education India Pvt. Ltd.","Vijayawada","LWF","Remittance Returns cum Challans",""
"21237","IDP Education India Pvt. Ltd.","Vishakhapatnam","Employ Comp.","Submission of Returns",""
"21250","IDP Education India Pvt. Ltd.","Vishakhapatnam","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals",""
"21256","IDP Education India Pvt. Ltd.","Vishakhapatnam","LWF","Remittance Returns cum Challans",""
