SiteID,Site,Company,Customer,State,Contact_Person,Contact_Number,Address,Maker,Checker,Status
"28","Alaknanda Market New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"29","Dwarka C394 New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"30","Kamla Nagar New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"31","Mayur Vihar New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"32","Khan Market New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"33","Rohini New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"34","Lajpat Nagar New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"35","Janakpuri New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"36","CP New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"37","Dwarka Sector 12 New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"38","Rajouri Garden New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"39","Old Rajender Nagar New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"40","New Model Town New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"41","Paschim Vihar New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"42","Satya Niketan New Delhi","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","Active"
"43","Elante Mall Chandigarh","Dealskart Online Solutions Private Limited","Dealskart","Chandigarh","","","","","","Active"
"44","13th Floor Vatika","Dealskart Online Solutions Private Limited","Dealskart","Haryana","","","","","","Active"
"45","Metropoliton Mall","Dealskart Online Solutions Private Limited","Dealskart","Haryana","","","","","","Active"
"46","Galleria Mall","Dealskart Online Solutions Private Limited","Dealskart","Haryana","","","","","","Active"
"47","Sector 15 Store","Dealskart Online Solutions Private Limited","Dealskart","Haryana","","","","","","Active"
"48","Sector 31 Store","Dealskart Online Solutions Private Limited","Dealskart","Haryana","","","","","","Active"
"49","Mangal city indore","Dealskart Online Solutions Private Limited","Dealskart","Madhya Pradesh","","","","","","Active"
"50","whitefield PHOENIX MALL_BANGALORE","Dealskart Online Solutions Private Limited","Dealskart","Karnataka","","","","","","Active"
"51","Sarjapur(Bangalore)","Dealskart Online Solutions Private Limited","Dealskart","Karnataka","","","","","","Active"
"52","Kumaraswamy_Bangalore Store","Dealskart Online Solutions Private Limited","Dealskart","Karnataka","","","","","","Active"
"53","Kengeri_Bangalore","Dealskart Online Solutions Private Limited","Dealskart","Karnataka","","","","","","Active"
"54","CMH Road Indiranagar","Dealskart Online Solutions Private Limited","Dealskart","Karnataka","","","","","","Active"
"55","Koramanglam","Dealskart Online Solutions Private Limited","Dealskart","Karnataka","","","","","","Active"
"56","Kurla West Mumbai","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"57","Aundh '- Pune","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"58","SV Road Mumbai","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"59","Bandra Mumbai","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"60","Vashi Mumbai","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"61","Thane '- Vasant Vihar","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"62","Borivali_Mumbai","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"63","STAR BAZZAR AURANGABAD","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"64","Orion Mall Mumbai","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"65","Kharghar Navi Mumbai","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"66","Chemburm Mumbai","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"67","Store'-Star Bazaar Pune","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"68","Kay Vision","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"69","Kempscorner_Mumbai","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"70","Mahim_Mumbai Store","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"71","Korum Mall","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"72","Yerwada Pune","Dealskart Online Solutions Private Limited","Dealskart","Maharashtra","","","","","","Active"
"73","Samajiguda","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","Active"
"74","Banjarahills","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","Active"
"75","Spencer?s Musheerabad(Hyderabad)","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","Active"
"76","Banjara Hills 2_Hyderabad Store","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","Active"
"77","Begumpet_HYD Store","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","Active"
"78","Champapet_HYD Store","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","Active"
"79","Begumpet_HYD ","Dealskart Online Solutions Private Limited","Dealskart","Telangana","","","","","","Active"
"80","Noida Sec'-18","Dealskart Online Solutions Private Limited","Dealskart","Uttar Pradesh","","","","","","Active"
"81","GIP Mall Noida","Dealskart Online Solutions Private Limited","Dealskart","Uttar Pradesh","","","","","","Active"
"82","Indranagar UP","Dealskart Online Solutions Private Limited","Dealskart","Uttar Pradesh","","","","","","Active"
"83","Noida_Sec'-50","Dealskart Online Solutions Private Limited","Dealskart","Uttar Pradesh","","","","","","Active"
"84","Retrobee_IndiraNagar","Dealskart Online Solutions Private Limited","Dealskart","Uttar Pradesh","","","","","","Active"
"85","Ansal Plaza Noida","Dealskart Online Solutions Private Limited","Dealskart","Uttar Pradesh","","","","","","Active"
"86","Tollygunj kolkata","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"87","Store'-Spencer SIS Kolkata New Town","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"88","Camac Street Kolkata","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"89","Store'-Spencer SIS Mani Square kolkata","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"90","SaltLake_Kolkata","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"91","Srirampur_Kolkata Store","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"92","Uttapara_Kolkata Store","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"93","MG Road Kolkata","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"94","Nagar Bazar_Kolkata Store","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"95","Shibpur_Kolkata Store","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"96","Tobin Road_Kolkata","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"97","Kharda_Kolkata Store","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"98","MadhaymGram_Kolkata Store","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"99","Newalipore_Kolkata Store","Dealskart Online Solutions Private Limited","Dealskart","West Bengal","","","","","","Active"
"100","Surat Mall Gujrat","Dealskart Online Solutions Private Limited","Dealskart","Gujarat","","","","","","Active"
"101","Baroda SIS","Dealskart Online Solutions Private Limited","Dealskart","Gujarat","","","","","","Active"
"102","Store'-Star Bazar Ahamdabed","Dealskart Online Solutions Private Limited","Dealskart","Gujarat","","","","","","Active"
"103","Mani Nagar Ahmedabad","Dealskart Online Solutions Private Limited","Dealskart","Gujarat","","","","","","Active"
"104","Gaurav Tower_Jaipur","Dealskart Online Solutions Private Limited","Dealskart","Rajasthan","","","","","","Active"
"105","Kota Store","Dealskart Online Solutions Private Limited","Dealskart","Rajasthan","","","","","","Active"
"106","Kodambakkam_Chennai","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"107","Velachery(Chennai)","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"108","Purasawalkam_Chennai","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"109","Tondiarpet_Chennai","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"110","Ambattur OT_Chennai","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"111","Ambattur Bus stand_Chennai","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"112","Anna Nagar_Chennai","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"113","ECR_Chennai Store","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"114","Royapuram_Chennai Store","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"115","RK Salai_Chennai","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"116","Jawahar Nagar_Chennai","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"117","Perumbakkam_Chennai","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"118","Tambaram West","Dealskart Online Solutions Private Limited","Dealskart","Tamil Nadu","","","","","","Active"
"119","Telibandha Raipur","Dealskart Online Solutions Private Limited","Dealskart","Chhattisgarh","","","","","","Active"
"229","New Delhi","Fujifilm India Private Limited","Fujifilm","Delhi","","","","","","Active"
"230","Gurgaon","Fujifilm India Private Limited","Fujifilm","Haryana","","","","","","Active"
"231","Bangalore","Fujifilm India Private Limited","Fujifilm","Karnataka","","","","","","Active"
"232","Zirakpur","Fujifilm India Private Limited","Fujifilm","Punjab","","","","","","Active"
"233","Mumbai","Fujifilm India Private Limited","Fujifilm","Maharashtra","","","","","","Active"
"234","Kolkata","Fujifilm India Private Limited","Fujifilm","West Bengal","","","","","","Active"
"235","Chennai","Fujifilm India Private Limited","Fujifilm","Tamil Nadu","","","","","","Active"
"9","Naraina","Micromax Informatics Limited","MicroMax","Delhi","","","Naraina, New Delhi, Delhi, India","","","Active"
"10","Mayapuri","Micromax Informatics Limited","MicroMax","Delhi","","","Mayapuri, New Delhi, Delhi, India","","","Active"
"11","Mumbai","Micromax Informatics Limited","MicroMax","Maharashtra","","","Mumbai, Maharashtra, India","","","Active"
"12","Bangaluru","Micromax Informatics Limited","MicroMax","Karnataka","","","Bengaluru, Karnataka, India","","","Active"
"13","Chennai","Micromax Informatics Limited","MicroMax","Tamil Nadu","","","Chennai, Tamil Nadu, India","","","Active"
"14","90B Gurgaon","Micromax Informatics Limited","MicroMax","Haryana","","","Gurugram, Haryana, India","","","Active"
"15","B34 Gurgaon","Micromax Informatics Limited","MicroMax","Haryana","","","Gurugram, Haryana, India","","","Active"
"16","Kolkata","Micromax Informatics Limited","MicroMax","West Bengal","","","Kolkata, West Bengal, India","","","Active"
"25","Test Site","Mynd","abc","Delhi","","","","amit_Nehra","amit_Nehra","Active"
"1","Delhi","Mynd","abc","Delhi","","","280, Udyog Vihar, Phase IV, Sector 18, Udyog Vihar Phase IV, Sector 18, Gurugram, Haryana 122008, India","","","Active"
"2","Kolkata","Mynd","abc","West Bengal","","","Kolkata, West Bengal, India","","","Active"
"3","Mumbai","Mynd","abc","Maharashtra","","","","","","Active"
"4","Chennai","Mynd","abc","Tamil Nadu","","","Poonamallee High Rd, Poongavanapuram, Chennai, Tamil Nadu 600003, India","","","Active"
"18","Noida","Test Mentor","Mynd Cust","Uttar Pradesh","Sonal","","Sector 127, Noida, Uttar Pradesh 201301, India","","","Active"
